"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","1998",10095,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","1999",11456,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2000",12654,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2001",13372,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",14062,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2003",13979,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2004",15643,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2005",15584,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2006",15549,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2007",16138,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2008",15007,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2009",14877,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2010",13727,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2011",14624,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2012",14546,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2013",14070,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2014",14473,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2015",15504,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2016",15017,
"MLT","ROADACCID","ACCIDENTCASUAL","NBR","A","2017",15003,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1970",11439,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1971",11465,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1972",11553,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1973",11395,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1974",10359,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1975",10337,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1976",8630,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1977",8288,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1978",7001,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1979",6938,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1980",6790,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1981",7173,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1982",7402,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1983",7673,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1984",7543,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1985",7759,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1986",8708,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1987",8636,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1988",9569,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1989",9682,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1990",10175,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1991",9374,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1992",7882,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1993",6147,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1994",6245,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1995",7812,"B"
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1996",7274,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1997",6980,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1998",6902,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","1999",6997,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","2000",6633,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","2001",6451,
"FIN","ROADACCID","ACCIDENTCASUAL","NBR","A","2002",6196,
